#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTC2	uniprotkb:P0DTC2	intact:EBI-25474821	intact:EBI-25474821	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:"MI:0410"(3D electron microscopy)	Walls et al. (2020)	pubmed:32155444|imex:IM-27846	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25495631|wwpdb:6vyb|wwpdb:6vxx|imex:IM-27846-5|emdb:EMD-21452	intact-miscore:0.74
uniprotkb:P0DTC2	uniprotkb:P0DTC2	intact:EBI-25474821	intact:EBI-25474821	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:"MI:0114"(x-ray crystallography)	Xia et al. (2020)	imex:IM-27873|pubmed:32231345	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25503580|wwpdb:6LXT|imex:IM-27873-1	intact-miscore:0.74
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P0DTD1-PRO_0000449632	intact:EBI-25475891	intact:EBI-25475891	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0114"(x-ray crystallography)	Kim. et al. (2020)	pubmed:32304108|imex:IM-27884	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25504928|imex:IM-27884-1|wwpdb:6vww|wwpdb:6w01	intact-miscore:0.44
uniprotkb:P0DTC2	uniprotkb:P0DTC2	intact:EBI-25474821	intact:EBI-25474821	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:"MI:2338"(electron tomography)	Wrapp et al. (2020)	pubmed:32075877|imex:IM-27946	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25590861|imex:IM-27946-1|wwpdb:6vsb	intact-miscore:0.74
uniprotkb:P0DTC2	uniprotkb:P0DTC2	intact:EBI-25474821	intact:EBI-25474821	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)	psi-mi:"MI:0071"(molecular sieving)	Wrapp et al. (2020)	pubmed:32075877|imex:IM-27946	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25591137|imex:IM-27946-11	intact-miscore:0.74
uniprotkb:P0DTD1-PRO_0000449625	uniprotkb:P0DTD1-PRO_0000449626	intact:EBI-25475871	intact:EBI-25475874	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449626(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0410"(3D electron microscopy)	Gao et al. (2020)	pubmed:32277040|imex:IM-27888	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25506373|imex:IM-27888-1|wwpdb:7btf|wwpdb:6M71	intact-miscore:0.63
uniprotkb:P0DTD1-PRO_0000449625	uniprotkb:P0DTD1-PRO_0000449629	intact:EBI-25475871	intact:EBI-25475885	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449629(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0410"(3D electron microscopy)	Gao et al. (2020)	pubmed:32277040|imex:IM-27888	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25506373|imex:IM-27888-1|wwpdb:7btf|wwpdb:6M71	intact-miscore:0.32
uniprotkb:P0DTD1-PRO_0000449626	uniprotkb:P0DTD1-PRO_0000449625	intact:EBI-25475874	intact:EBI-25475871	psi-mi:p0dtd1-pro_0000449626(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0071"(molecular sieving)	Gao et al. (2020)	pubmed:32277040|imex:IM-27888	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25510487|imex:IM-27888-3	intact-miscore:0.63
uniprotkb:P0DTD1-PRO_0000449620	uniprotkb:P0DTD1-PRO_0000449632	intact:EBI-25475859	intact:EBI-25475891	psi-mi:p0dtd1-pro_0000449620(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508754|imex:IM-27901-1	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449619	uniprotkb:P0DTD8	intact:EBI-25475847	intact:EBI-25475914	psi-mi:p0dtd1-pro_0000449619(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ns7b_sars2(display_long)|uniprotkb:Accessory protein 7b(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508759|imex:IM-27901-81	intact-miscore:0.37
